transition,detector_pts,detector_time_s,settled_pts,settled_time_s,pre_centroid_x_camera_px,pre_centroid_y_camera_px,post_centroid_x_camera_px,post_centroid_y_camera_px,raw_delta_x_camera_px,raw_delta_y_camera_px,reference_delta_x_camera_px,reference_delta_y_camera_px,reference_corrected_delta_x_camera_px,reference_corrected_delta_y_camera_px,raw_unrounded_step_x_source_px,raw_unrounded_step_y_source_px,corrected_unrounded_step_x_source_px,corrected_unrounded_step_y_source_px,decoded_step_x_source_px,decoded_step_y_source_px,cumulative_x_source_px,cumulative_y_source_px,raw_rounding_residual_source_px,corrected_rounding_residual_source_px,reference_ecc_correlation,window_frame_count
21,793057,1321.7616666666668,793067,1321.7783333333334,2056.0701519539525,542.4361304806871,2046.8806801403284,533.0106130943175,-9.189471813624095,-9.42551738636962,0.04320969060063362,0.48554953932762146,-9.232681504224729,-9.911066925697241,-1.0188878739004563,-1.0150848436554094,-1.0240240805239385,-1.0684973064713228,-1,-1,-14,12,0.02417238690298673,0.07258813566173881,0.9970350322426017,168
22,829139,1381.8983333333333,829149,1381.915,2046.632194292219,533.0157224845898,2055.82662927909,524.1522863387552,9.194434986870874,-8.863436145834612,0.057226844131946564,0.04732831194996834,9.137208142738928,-8.91076445778458,1.0051211982289994,-1.0010300945449262,0.9987850365996566,-1.0060982525365,1,-1,-13,11,0.0052237693356610776,0.00621810421777441,0.9966248092936477,167
23,865220,1442.0333333333333,865220,1442.0333333333333,2055.882972551831,524.2216413831393,2065.2872272634067,515.2238829637638,9.404254711575959,-8.997758419375486,0.304500550031662,-0.8058056235313416,9.099754161544297,-8.191952795844145,1.0281115342668976,-1.016384023477322,0.9952249138223219,-0.9267616920661058,1,-1,-12,10,0.03253758725142967,0.07339380898293915,0.9966742047975262,167
24,901291,1502.1516666666666,901301,1502.1683333333333,2065.180160351705,515.1441149168629,2074.4658010980984,506.0818022279032,9.285640746393256,-9.062312688959707,-0.10405636578798294,-0.2542908191680908,9.389697112181238,-8.808021869791617,1.0150048356194092,-1.0231911334900112,1.0266576260336457,-0.9954302797799779,1,-1,-11,9,0.0276219797356564,0.027046466842066193,0.9967860059235505,167
25,937382,1562.3033333333333,937392,1562.32,2074.312942006609,506.0715622860346,2083.508561983709,497.3912157660577,9.19561997710025,-8.680346519976865,1.236865758895874,-1.6538453102111816,7.958754218204376,-7.026501209765684,1.0053949199465655,-0.980850105290298,0.8705438733320189,-0.7953135652979694,1,-1,-10,8,0.019895316750997493,0.24218882154819826,0.992356499215492,168
26,973454,1622.4233333333334,973464,1622.44,2083.571919488181,497.4151658442647,2093.0439188178834,488.46995897562454,9.471999329702612,-8.945206868640184,-0.4050971567630768,0.4054088890552521,9.877096486465689,-9.350615757695437,1.035609505074143,-1.0107674846783363,1.0798824332604742,-1.0565138074937328,1,-1,-9,7,0.0372018222392885,0.09785199834981807,0.9918753525634676,168
27,1009535,1682.5583333333334,1009545,1682.575,2093.050271021839,488.3653832050269,2102.247834910051,479.5462474202087,9.197563888212244,-8.819135784818172,-0.3457461893558502,0.4611349105834961,9.543310077568094,-9.280270695401668,1.0055002749327757,-0.9961547513576836,1.0431966610963728,-1.047889427220495,1,-1,-8,6,0.006711107319761544,0.06449301333774052,0.9955615303197382,168
28,1045626,1742.71,1045626,1742.71,2102.1593713324687,479.568895614266,2111.4456446146783,470.78337730685723,9.28627328220955,-8.785518307408779,0.6754044890403748,-1.0272272825241089,8.610868793169175,-7.75829102488467,1.015291080704803,-0.9926800624093118,0.9417512883967837,-0.8776825383217864,1,-1,-7,5,0.0169528356168627,0.13547868406076252,0.9924744505113606,168
29,1081698,1802.83,1081708,1802.8466666666666,2111.8545321786924,470.7336700682299,2120.9013371256497,461.79966977491154,9.046804946957309,-8.934000293318377,-0.32114729285240173,-0.04185204207897186,9.36795223980971,-8.892148251239405,0.9888159139242781,-1.0084240963865572,1.02419826821549,-1.0046473745593232,1,-1,-6,4,0.014001756364083793,0.024640500703586303,0.996859387908445,168
30,1117779,1862.965,1117789,1862.9816666666666,2120.702691793744,461.69573386100853,2129.9114412495883,452.88302006920446,9.2087494558441,-8.812713791804072,0.4591551721096039,0.24749112129211426,8.749594283734496,-9.060204913096186,1.0067365282141323,-0.9954759648309175,0.9560023183333309,-1.0215618900072456,1,-1,-5,3,0.008114659979992738,0.048997051877904915,0.9963476940584601,167
